,Seat,ConstituencyTitle,CandidateName,Party,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout
236,Upper Dir-cum-Lower Dir (Old Upper Dir,NA-33,Dr. Bahramand Khan,Independent,395,69951,2020,71678,267936,26.75 %
237,Upper Dir-cum-Lower Dir (Old Upper Dir,NA-33,Farhad Ali  Khan,Pakistan Muslim League,5606,69951,2020,71678,267936,26.75 %
238,Upper Dir-cum-Lower Dir (Old Upper Dir,NA-33,Maulana Said Jalal,Independent,118,69951,2020,71678,267936,26.75 %
239,Upper Dir-cum-Lower Dir (Old Upper Dir,NA-33,Mohmmad-ul-Mulk (Akhon Zada),Pakistan Muslim League (N),6508,69951,2020,71678,267936,26.75 %
240,Upper Dir-cum-Lower Dir (Old Upper Dir,NA-33,Molana Fazal Azim,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,1572,69951,2020,71678,267936,26.75 %
241,Upper Dir-cum-Lower Dir (Old Upper Dir,NA-33,Najum-din Khan,Pakistan Peoples Party Parliamentarians,27594,69951,2020,71678,267936,26.75 %
242,Upper Dir-cum-Lower Dir (Old Upper Dir,NA-33,Naveed Anjum Khan,Awami National Party,8124,69951,2020,71678,267936,26.75 %
243,Upper Dir-cum-Lower Dir (Old Upper Dir,NA-33,Sahibzada Sibghatullalh,Independent,19910,69951,2020,71678,267936,26.75 %
244,Upper Dir-cum-Lower Dir (Old Upper Dir,NA-33,Saleem-ur-rehman Adovocate,Independent,84,69951,2020,71678,267936,26.75 %
245,Lower Dir,NA-34,Dr.Bahramand Khan,Independent,625,87451,2746,90029,371903,24.20 %
246,Lower Dir,NA-34,Javed Iqbal,Pakistan Muslim League,3366,87451,2746,90029,371903,24.20 %
247,Lower Dir,NA-34,Malak Azmat Khan,Pakistan Peoples Party Parliamentarians,38068,87451,2746,90029,371903,24.20 %
248,Lower Dir,NA-34,Muhammad  Ayoub Khan,Awami National Party,24480,87451,2746,90029,371903,24.20 %
249,Lower Dir,NA-34,Qazi Fazal Ullah,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,11449,87451,2746,90029,371903,24.20 %
250,Lower Dir,NA-34,Shamsul Qamar Khan,Independent,761,87451,2746,90029,371903,24.20 %
251,Malakand P.A,NA-35,Ahmadullah,Awami National Party,5427,70744,2380,73058,233458,31.29 %
252,Malakand P.A,NA-35,Lal Muhammad Khan,Pakistan Peoples Party Parliamentarians,34472,70744,2380,73058,233458,31.29 %
253,Malakand P.A,NA-35,Muhammad Riaz,Pakistan Muslim League,5462,70744,2380,73058,233458,31.29 %
254,Malakand P.A,NA-35,Sahibzada Khalid Jan,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,5555,70744,2380,73058,233458,31.29 %
255,Malakand P.A,NA-35,Sajjad Ahmad,Pakistan Muslim League (N),4800,70744,2380,73058,233458,31.29 %
256,Tribal Area-I,NA-36,Aftab Ahmad Khan,Independent,24,22873,390,23263,126007,18.15 %
257,Tribal Area-I,NA-36,Asghar Khan,Independent,1332,22873,390,23263,126007,18.15 %
258,Tribal Area-I,NA-36,Ataullah,Independent,393,22873,390,23263,126007,18.15 %
259,Tribal Area-I,NA-36,Bilal Rehman,Independent,5270,22873,390,23263,126007,18.15 %
260,Tribal Area-I,NA-36,Doctor Farooq Afzal,Independent,1892,22873,390,23263,126007,18.15 %
261,Tribal Area-I,NA-36,Fazal Manan Mohmand,Independent,2111,22873,390,23263,126007,18.15 %
262,Tribal Area-I,NA-36,Hafiz Mohabat Khan,Independent,1023,22873,390,23263,126007,18.15 %
263,Tribal Area-I,NA-36,Ihsan ullah,Independent,318,22873,390,23263,126007,18.15 %
264,Tribal Area-I,NA-36,Ikramullah Khan,Independent,16,22873,390,23263,126007,18.15 %
265,Tribal Area-I,NA-36,Javid Yousaf Mohmand,Independent,55,22873,390,23263,126007,18.15 %
266,Tribal Area-I,NA-36,Khair Ullah,Independent,367,22873,390,23263,126007,18.15 %
267,Tribal Area-I,NA-36,Malik Manzoor Khan,Independent,21,22873,390,23263,126007,18.15 %
268,Tribal Area-I,NA-36,Maulana Ghulam Mohammad Sadiq,Independent,3483,22873,390,23263,126007,18.15 %
269,Tribal Area-I,NA-36,Mualim Khan,Independent,25,22873,390,23263,126007,18.15 %
270,Tribal Area-I,NA-36,Muhammad Naseer,Independent,1826,22873,390,23263,126007,18.15 %
271,Tribal Area-I,NA-36,Riyasat Ali Khan,Independent,24,22873,390,23263,126007,18.15 %
272,Tribal Area-I,NA-36,Saeed-ur-Rehman,Independent,60,22873,390,23263,126007,18.15 %
273,Tribal Area-I,NA-36,Shahbaz Khan Mohmand,Independent,4229,22873,390,23263,126007,18.15 %
274,Tribal Area-I,NA-36,Shahbaz Yasar Ali,Independent,141,22873,390,23263,126007,18.15 %
275,Tribal Area-I,NA-36,Shahen Shah,Independent,169,22873,390,23263,126007,18.15 %
276,Tribal Area-I,NA-36,Wazir Muhammad Khan,Independent,94,22873,390,23263,126007,18.15 %
277,Tribal Area-II,NA-37,Doctor Ghayyur Hussain,Independent,4,87090,206,87296,141190,61.82 %
278,Tribal Area-II,NA-37,Doctor Syed Javaid Hussain,Independent,5,87090,206,87296,141190,61.82 %
279,Tribal Area-II,NA-37,Doctor Syed Mohammad Ali Shah,Independent,6,87090,206,87296,141190,61.82 %
280,Tribal Area-II,NA-37,Doctor Syed Mumtaz Hussain Shah,Independent,2,87090,206,87296,141190,61.82 %
281,Tribal Area-II,NA-37,Doctor Syed Riaz Hussain,Independent,20793,87090,206,87296,141190,61.82 %
282,Tribal Area-II,NA-37,Engineer Akbar Ali,Independent,2,87090,206,87296,141190,61.82 %
283,Tribal Area-II,NA-37,Fakhar Zaman,Independent,6,87090,206,87296,141190,61.82 %
284,Tribal Area-II,NA-37,H. Hashim Khan,Independent,0,87090,206,87296,141190,61.82 %
285,Tribal Area-II,NA-37,Hamid Hussain,Independent,1,87090,206,87296,141190,61.82 %
286,Tribal Area-II,NA-37,Malik Dildar Hussain,Independent,4,87090,206,87296,141190,61.82 %
287,Tribal Area-II,NA-37,Mehmood Ali Khan,Independent,0,87090,206,87296,141190,61.82 %
288,Tribal Area-II,NA-37,Muhammad Hussain,Independent,5,87090,206,87296,141190,61.82 %
289,Tribal Area-II,NA-37,Qaim Hussain,Independent,7,87090,206,87296,141190,61.82 %
290,Tribal Area-II,NA-37,Rajab Ali,Independent,10,87090,206,87296,141190,61.82 %
291,Tribal Area-II,NA-37,S. Syed Hussain,Independent,18,87090,206,87296,141190,61.82 %
292,Tribal Area-II,NA-37,Sajid Hussain Turi,Independent,26287,87090,206,87296,141190,61.82 %
293,Tribal Area-II,NA-37,Salah-u-Din,Independent,19636,87090,206,87296,141190,61.82 %
294,Tribal Area-II,NA-37,Shabir Hussain,Independent,2,87090,206,87296,141190,61.82 %
295,Tribal Area-II,NA-37,Shafaat Hussain,Independent,8,87090,206,87296,141190,61.82 %
296,Tribal Area-II,NA-37,Syed Iqbal Hussain,Independent,13,87090,206,87296,141190,61.82 %
297,Tribal Area-II,NA-37,Syed Iqbal Mian,Independent,6,87090,206,87296,141190,61.82 %
298,Tribal Area-II,NA-37,Syed Mohammad,Independent,8,87090,206,87296,141190,61.82 %
299,Tribal Area-II,NA-37,Syed Sajjad Hussain,Independent,20267,87090,206,87296,141190,61.82 %
300,Tribal Area-II,NA-37,Syed Wali Syed Mian,Independent,0,87090,206,87296,141190,61.82 %
301,Tribal Area-III,NA-38,Abdul Ghaffar Khan Ghafoor,Independent,7,24900,19,24919,87993,28.31 %
302,Tribal Area-III,NA-38,Abdul Hameed Khan,Independent,20,24900,19,24919,87993,28.31 %
303,Tribal Area-III,NA-38,Akhunzada Abdul Wali Khan,Independent,8,24900,19,24919,87993,28.31 %
304,Tribal Area-III,NA-38,Akhunzada Mohammad Nawaz,Independent,4,24900,19,24919,87993,28.31 %
305,Tribal Area-III,NA-38,Doctor Gul Manan,Independent,40,24900,19,24919,87993,28.31 %
306,Tribal Area-III,NA-38,Eid Nazar Mangal,Independent,14,24900,19,24919,87993,28.31 %
307,Tribal Area-III,NA-38,Engineer Rashid Ahmad Khan,Independent,7,24900,19,24919,87993,28.31 %
308,Tribal Area-III,NA-38,Habib Malik Orakzai,Independent,2990,24900,19,24919,87993,28.31 %
309,Tribal Area-III,NA-38,Haji Fazle Maula Masozai,Independent,10,24900,19,24919,87993,28.31 %
310,Tribal Area-III,NA-38,Haji Sohbat Khan Orakzai,Independent,3,24900,19,24919,87993,28.31 %
311,Tribal Area-III,NA-38,Malak Fakhar Zaman Khan,Independent,1,24900,19,24919,87993,28.31 %
312,Tribal Area-III,NA-38,Malak Mohammad Naseer Khan,Independent,124,24900,19,24919,87993,28.31 %
313,Tribal Area-III,NA-38,Malak Noor Ahmad Shah Orakzai,Independent,21,24900,19,24919,87993,28.31 %
314,Tribal Area-III,NA-38,Malik Haji Abdul Manan Bangush,Independent,3,24900,19,24919,87993,28.31 %
315,Tribal Area-III,NA-38,Maulana Akhunzada Obaidullah Sharif,Independent,4270,24900,19,24919,87993,28.31 %
316,Tribal Area-III,NA-38,Mohammad Amin Khan Orakzai,Independent,12,24900,19,24919,87993,28.31 %
317,Tribal Area-III,NA-38,Munir Khan Orakzai,Independent,16525,24900,19,24919,87993,28.31 %
318,Tribal Area-III,NA-38,Naveed Ahmad Khan,Independent,805,24900,19,24919,87993,28.31 %
319,Tribal Area-III,NA-38,Salah-u-Din,Independent,27,24900,19,24919,87993,28.31 %
320,Tribal Area-III,NA-38,Shamsulhaq,Independent,9,24900,19,24919,87993,28.31 %
321,Tribal Area-IV,NA-39,Doctor Syed Ghazi Gulab Jamal,Independent,83,49126,381,49463,123335,40.10 %
322,Tribal Area-IV,NA-39,Dr. Gul Karim Khan,Independent,8247,49126,381,49463,123335,40.10 %
323,Tribal Area-IV,NA-39,Dr. Gulab Akbar,Independent,67,49126,381,49463,123335,40.10 %
324,Tribal Area-IV,NA-39,Dr. Muhammad Javed Abdul Ghani,Independent,378,49126,381,49463,123335,40.10 %
325,Tribal Area-IV,NA-39,Engineer Muhammad Saeed Khan Aurakzai,Independent,4703,49126,381,49463,123335,40.10 %
326,Tribal Area-IV,NA-39,Hanif Khan,Independent,44,49126,381,49463,123335,40.10 %
327,Tribal Area-IV,NA-39,Jawad Hussain,Independent,21844,49126,381,49463,123335,40.10 %
328,Tribal Area-IV,NA-39,Malik Atiq ur Rehman Orakzai,Independent,5618,49126,381,49463,123335,40.10 %
329,Tribal Area-IV,NA-39,Mian Syed Muhammad Hussain,Independent,5438,49126,381,49463,123335,40.10 %
330,Tribal Area-IV,NA-39,Mufeed Ali,Independent,37,49126,381,49463,123335,40.10 %
331,Tribal Area-IV,NA-39,Riaz Hussain,Independent,29,49126,381,49463,123335,40.10 %
332,Tribal Area-IV,NA-39,Syed Javed Hussain,Independent,74,49126,381,49463,123335,40.10 %
333,Tribal Area-IV,NA-39,Syed Noor Akber,Independent,34,49126,381,49463,123335,40.10 %
334,Tribal Area-IV,NA-39,Tahir Iqbal,Independent,2530,49126,381,49463,123335,40.10 %
335,Tribal Area-V,NA-40,Abdul Qayyum,Pakistan Citizen Movement,5441,34638,591,35254,126453,27.87 %
336,Tribal Area-V,NA-40,Abdullah Shah,Independent,4056,34638,591,35254,126453,27.87 %
337,Tribal Area-V,NA-40,Aurang Zeb Khan,Independent,5201,34638,591,35254,126453,27.87 %
338,Tribal Area-V,NA-40,Dr.Bahsir Ahmad Khan,Independent,65,34638,591,35254,126453,27.87 %
339,Tribal Area-V,NA-40,Dr.Shahid Rauf,Independent,958,34638,591,35254,126453,27.87 %
340,Tribal Area-V,NA-40,Fazal-e-Subhan,Independent,1326,34638,591,35254,126453,27.87 %
341,Tribal Area-V,NA-40,Fida Muhammad,Independent,16,34638,591,35254,126453,27.87 %
342,Tribal Area-V,NA-40,Gul Alam,Independent,63,34638,591,35254,126453,27.87 %
343,Tribal Area-V,NA-40,Hafiz Ahmad Jan,Independent,378,34638,591,35254,126453,27.87 %
344,Tribal Area-V,NA-40,Haji Laiq Zaman,Independent,11,34638,591,35254,126453,27.87 %
345,Tribal Area-V,NA-40,Maulana Ainullah Dawer,Independent,1265,34638,591,35254,126453,27.87 %
346,Tribal Area-V,NA-40,Maulana Syed Nek Zaman Haqani,Independent,2515,34638,591,35254,126453,27.87 %
347,Tribal Area-V,NA-40,Muhammad Ajmal Khan,Independent,3051,34638,591,35254,126453,27.87 %
348,Tribal Area-V,NA-40,Muhammad Asghar,Independent,9,34638,591,35254,126453,27.87 %
349,Tribal Area-V,NA-40,Muhammad Ishaq,Independent,3,34638,591,35254,126453,27.87 %
350,Tribal Area-V,NA-40,Muhammad Kamran Khan,Independent,5894,34638,591,35254,126453,27.87 %
351,Tribal Area-V,NA-40,Nisar Ali Khan Dawer,Independent,1855,34638,591,35254,126453,27.87 %
352,Tribal Area-V,NA-40,Sadiqullah Dawar,Independent,1130,34638,591,35254,126453,27.87 %
353,Tribal Area-V,NA-40,Sadiqullah Mufti,Independent,1392,34638,591,35254,126453,27.87 %
354,Tribal Area-V,NA-40,Zabehullah,Independent,9,34638,591,35254,126453,27.87 %
355,Tribal Area-VI,NA-41,Ajab Gul Wazir,Independent,31,30640,600,31240,94077,33.2 %
356,Tribal Area-VI,NA-41,Aziz-u- Hassan Wazir,Independent,7179,30640,600,31240,94077,33.2 %
357,Tribal Area-VI,NA-41,Ghalib Khan,Independent,8177,30640,600,31240,94077,33.2 %
358,Tribal Area-VI,NA-41,Ghani Khan Salam Khel,Independent,4077,30640,600,31240,94077,33.2 %
359,Tribal Area-VI,NA-41,Ghulm Haidar,Independent,52,30640,600,31240,94077,33.2 %
360,Tribal Area-VI,NA-41,Jehanzeb Khan,Independent,17,30640,600,31240,94077,33.2 %
361,Tribal Area-VI,NA-41,Maulana Abdul Malik Wazir,Independent,19,30640,600,31240,94077,33.2 %
362,Tribal Area-VI,NA-41,Mohammad Ali Wazir,Independent,3212,30640,600,31240,94077,33.2 %
363,Tribal Area-VI,NA-41,Mohammad Jehangir Khan,Independent,85,30640,600,31240,94077,33.2 %
364,Tribal Area-VI,NA-41,Mohammad Tariq Wazir,Independent,6,30640,600,31240,94077,33.2 %
365,Tribal Area-VI,NA-41,Moulana Abul Malik Wazir,Independent,9000,30640,600,31240,94077,33.2 %
366,Tribal Area-VII,NA-42,Asam-ud-Din,Independent,0,0,0,0,129961,0 %
367,Tribal Area-VII,NA-42,Maulana Muhammad Meraj-Uddin Quresh,Independent,0,0,0,0,129961,0 %
368,Tribal Area-VII,NA-42,Mufti Faqir Amir Akber Sahib,Independent,0,0,0,0,129961,0 %
369,Tribal Area-VII,NA-42,Sardar Aman-Uddin,Independent,0,0,0,0,129961,0 %
370,Tribal Area-VIII,NA-43,Bashir Mohammad,Independent,3009,14910,392,15302,119088,12.849 %
371,Tribal Area-VIII,NA-43,Habib Rasool safi,Independent,65,14910,392,15302,119088,12.849 %
372,Tribal Area-VIII,NA-43,Haji Akbar Jan,Independent,290,14910,392,15302,119088,12.849 %
373,Tribal Area-VIII,NA-43,Hayat Mohammad,Independent,53,14910,392,15302,119088,12.849 %
374,Tribal Area-VIII,NA-43,Inayat-ur-Rahman,Independent,171,14910,392,15302,119088,12.849 %
375,Tribal Area-VIII,NA-43,Mufti Israr Ahmad,Independent,247,14910,392,15302,119088,12.849 %
376,Tribal Area-VIII,NA-43,Saeed-ur-Rahman,Independent,568,14910,392,15302,119088,12.849 %
377,Tribal Area-VIII,NA-43,Shaukatullah Khan,Independent,7428,14910,392,15302,119088,12.849 %
378,Tribal Area-VIII,NA-43,Sheikh Jehanzada,Independent,3079,14910,392,15302,119088,12.849 %
379,Tribal Area-IX,NA-44,Al Haj Mohammad Din Khan,Independent,51,23221,847,24062,136052,17.69 %
380,Tribal Area-IX,NA-44,Gul Dad Khan,Independent,4648,23221,847,24062,136052,17.69 %
381,Tribal Area-IX,NA-44,Haji Rahat Yousaf,Independent,2348,23221,847,24062,136052,17.69 %
382,Tribal Area-IX,NA-44,Maulana Fazal Manan,Independent,1262,23221,847,24062,136052,17.69 %
383,Tribal Area-IX,NA-44,Mufti Israr Ahmad,Independent,602,23221,847,24062,136052,17.69 %
384,Tribal Area-IX,NA-44,Muhammad Fazil,Independent,1586,23221,847,24062,136052,17.69 %
385,Tribal Area-IX,NA-44,Shahab ud Din Khan,Independent,5203,23221,847,24062,136052,17.69 %
386,Tribal Area-IX,NA-44,Syed Akhun Zada Chittan,Independent,6257,23221,847,24062,136052,17.69 %
387,Tribal Area-IX,NA-44,Zir Muhammad,Independent,1264,23221,847,24062,136052,17.69 %
388,Tribal Area-X,NA-45,Abdul Azim,Independent,23,34966,513,35612,101272,35.16 %
389,Tribal Area-X,NA-45,Ajab Khan Afridi Zakha Khel,Independent,1641,34966,513,35612,101272,35.16 %
390,Tribal Area-X,NA-45,Dawood Khan,Independent,180,34966,513,35612,101272,35.16 %
391,Tribal Area-X,NA-45,Fazal Karim Shalmani,Independent,93,34966,513,35612,101272,35.16 %
392,Tribal Area-X,NA-45,Haji Rasheed Khan Shinwari,Independent,73,34966,513,35612,101272,35.16 %
393,Tribal Area-X,NA-45,Ishratullah,Independent,169,34966,513,35612,101272,35.16 %
394,Tribal Area-X,NA-45,Khan Zada Afridi Advocate,Independent,185,34966,513,35612,101272,35.16 %
395,Tribal Area-X,NA-45,Mohammad Hamayun,Independent,18,34966,513,35612,101272,35.16 %
396,Tribal Area-X,NA-45,Mohammad Ibrahim Koki Khel,Independent,12548,34966,513,35612,101272,35.16 %
397,Tribal Area-X,NA-45,Mufti Mohammad Ijaz,Independent,796,34966,513,35612,101272,35.16 %
398,Tribal Area-X,NA-45,Noor Ul Haq Qadri,Independent,13876,34966,513,35612,101272,35.16 %
399,Tribal Area-X,NA-45,Sardar Azam Afridi,Independent,13,34966,513,35612,101272,35.16 %
400,Tribal Area-X,NA-45,Zahid Khan,Independent,5351,34966,513,35612,101272,35.16 %
401,Tribal Area-XI,NA-46,Alhaj Mian Gul Malik Din Khel,Independent,36,22248,195,22443,94208,23.8 %
402,Tribal Area-XI,NA-46,Amir Shah Bar QK,Independent,40,22248,195,22443,94208,23.8 %
403,Tribal Area-XI,NA-46,Asghar Khan Afridi,Independent,146,22248,195,22443,94208,23.8 %
404,Tribal Area-XI,NA-46,Barrister Sulman Hameed Afridi SQK,Independent,250,22248,195,22443,94208,23.8 %
405,Tribal Area-XI,NA-46,Dr. Hafiz Habibullah SQK,Independent,37,22248,195,22443,94208,23.8 %
406,Tribal Area-XI,NA-46,Dr. Niaz Badshah SQK,Independent,312,22248,195,22443,94208,23.8 %
407,Tribal Area-XI,NA-46,Habib Jan Shakir Qamber Khel,Independent,56,22248,195,22443,94208,23.8 %
408,Tribal Area-XI,NA-46,Habib-ur-Rehman Sepah,Independent,21,22248,195,22443,94208,23.8 %
409,Tribal Area-XI,NA-46,Haji Faizullah MDK,Independent,115,22248,195,22443,94208,23.8 %
410,Tribal Area-XI,NA-46,Haji Surat Khan SQK,Independent,10,22248,195,22443,94208,23.8 %
411,Tribal Area-XI,NA-46,Hamidullah Jan Afridi BQK,Independent,5660,22248,195,22443,94208,23.8 %
412,Tribal Area-XI,NA-46,Hasham Khan MDK,Independent,1183,22248,195,22443,94208,23.8 %
413,Tribal Area-XI,NA-46,Malik Zafar Khan Shalobar Qamber Khel,Independent,1751,22248,195,22443,94208,23.8 %
414,Tribal Area-XI,NA-46,Maulana Khalil-ur-Rehman SQK,Independent,68,22248,195,22443,94208,23.8 %
415,Tribal Area-XI,NA-46,Maulana Nusrat Amin Afridi Adam Khel,Independent,228,22248,195,22443,94208,23.8 %
416,Tribal Area-XI,NA-46,Mohammad Hanif Afridi Sepah,Independent,174,22248,195,22443,94208,23.8 %
417,Tribal Area-XI,NA-46,Mohammad Saeed Afridi BQK,Independent,5035,22248,195,22443,94208,23.8 %
418,Tribal Area-XI,NA-46,Noor Baddin MDK,Independent,50,22248,195,22443,94208,23.8 %
419,Tribal Area-XI,NA-46,Nusrullah Khan SQK,Independent,15,22248,195,22443,94208,23.8 %
420,Tribal Area-XI,NA-46,Saifullah Qamber Khel,Independent,23,22248,195,22443,94208,23.8 %
421,Tribal Area-XI,NA-46,Sohail Ahmed Aa Khel,Independent,3359,22248,195,22443,94208,23.8 %
422,Tribal Area-XI,NA-46,Yar Asghar BQK,Independent,121,22248,195,22443,94208,23.8 %
423,Tribal Area-XI,NA-46,Zaffarullah Khan MDK,Independent,3558,22248,195,22443,94208,23.8 %
424,Tribal Area-XII,NA-47,Abdur Razzaaq,Independent,12,47706,402,46123,131222,35.14 %
425,Tribal Area-XII,NA-47,Abid Rehman,Independent,34,47706,402,46123,131222,35.14 %
426,Tribal Area-XII,NA-47,Ashfaq Khan Bhattani,Independent,21,47706,402,46123,131222,35.14 %
427,Tribal Area-XII,NA-47,Doctor Nasim Afridi,Independent,10468,47706,402,46123,131222,35.14 %
428,Tribal Area-XII,NA-47,Haji Zafar Khan Afridi,Independent,10,47706,402,46123,131222,35.14 %
429,Tribal Area-XII,NA-47,Javed Iqbal,Independent,11,47706,402,46123,131222,35.14 %
430,Tribal Area-XII,NA-47,Malak Haji Baz Gul Khan Afridi,Independent,9213,47706,402,46123,131222,35.14 %
431,Tribal Area-XII,NA-47,Malik Noor Zaman,Independent,2222,47706,402,46123,131222,35.14 %
432,Tribal Area-XII,NA-47,Maulana Sher Samad,Independent,2047,47706,402,46123,131222,35.14 %
433,Tribal Area-XII,NA-47,Mohabat Khan Sherani,Independent,14,47706,402,46123,131222,35.14 %
434,Tribal Area-XII,NA-47,Mohib Ullah Sherani,Independent,35,47706,402,46123,131222,35.14 %
435,Tribal Area-XII,NA-47,Muhammad Azam,Independent,108,47706,402,46123,131222,35.14 %
436,Tribal Area-XII,NA-47,Muhammad Sadiq Khan Sherani,Independent,54,47706,402,46123,131222,35.14 %
437,Tribal Area-XII,NA-47,Musharaf Khan,Independent,16,47706,402,46123,131222,35.14 %
438,Tribal Area-XII,NA-47,Noor Aslam,Independent,13,47706,402,46123,131222,35.14 %
439,Tribal Area-XII,NA-47,Rehman Afridi,Independent,1950,47706,402,46123,131222,35.14 %
440,Tribal Area-XII,NA-47,Sardar Muhammad Nawaz Khan,Independent,21,47706,402,46123,131222,35.14 %
441,Tribal Area-XII,NA-47,Shakirullah Sheirani,Independent,19,47706,402,46123,131222,35.14 %
442,Tribal Area-XII,NA-47,Wahid Ullah Afridi,Independent,12,47706,402,46123,131222,35.14 %
443,Tribal Area-XII,NA-47,Zafar Baig Bhattani,Independent,21426,47706,402,46123,131222,35.14 %
444,Islamabad-I,NA-48,Alamgir Khan,Pakistan Tehrek-e-Inqalab,1288,104409,548,104902,239924,43.72 %
445,Islamabad-I,NA-48,Anjum Aqeel Khan,Pakistan Muslim League (N),61480,104409,548,104902,239924,43.72 %
446,Islamabad-I,NA-48,Arshed Bhatti,Independent,68,104409,548,104902,239924,43.72 %
447,Islamabad-I,NA-48,Ashfaq Ahmad Cheema,Independent,33,104409,548,104902,239924,43.72 %
448,Islamabad-I,NA-48,Azeem Chaudhry,Independent,2286,104409,548,104902,239924,43.72 %
449,Islamabad-I,NA-48,Ch. Hamid Ali Wahla,Muttahida Qaumi Movement Pakistan,370,104409,548,104902,239924,43.72 %
450,Islamabad-I,NA-48,Dr. Abid Rauf Orakzai,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,278,104409,548,104902,239924,43.72 %
451,Islamabad-I,NA-48,Dr. Muhammad Shahid Attique,Independent,93,104409,548,104902,239924,43.72 %
452,Islamabad-I,NA-48,Dr. Rafique Ahmed Ghuncha,Independent,148,104409,548,104902,239924,43.72 %
453,Islamabad-I,NA-48,Dr. Syed Israr Hussain,Pakistan Peoples Party Parliamentarians,26485,104409,548,104902,239924,43.72 %
454,Islamabad-I,NA-48,Faisal Imran Khan Niazi,Awami National Party,62,104409,548,104902,239924,43.72 %
455,Islamabad-I,NA-48,Khalid Sulehri,Independent,29,104409,548,104902,239924,43.72 %
456,Islamabad-I,NA-48,Khurshid Anwar Qureshi,Independent,11,104409,548,104902,239924,43.72 %
457,Islamabad-I,NA-48,Muhammad Arshad Hussain Chishti,Pakistan Freedom Party,9,104409,548,104902,239924,43.72 %
458,Islamabad-I,NA-48,Muhammad Attique-ur-Rehman,Independent,19,104409,548,104902,239924,43.72 %
459,Islamabad-I,NA-48,Muhammad Farooq Rajput,Jamhoori Wattan Party,169,104409,548,104902,239924,43.72 %
460,Islamabad-I,NA-48,Muhammad Ilyas,Independent,42,104409,548,104902,239924,43.72 %
461,Islamabad-I,NA-48,Muhammad Usman Ikram Bajwa,Independent,185,104409,548,104902,239924,43.72 %
462,Islamabad-I,NA-48,Naila Joseph Dayal,Independent,691,104409,548,104902,239924,43.72 %
463,Islamabad-I,NA-48,Noreen Khan Advocate,Independent,86,104409,548,104902,239924,43.72 %
464,Islamabad-I,NA-48,Raja Zaheer Hussain,Independent,40,104409,548,104902,239924,43.72 %
465,Islamabad-I,NA-48,Rizwan Sadiq Khan,Pakistan Muslim League,10483,104409,548,104902,239924,43.72 %
466,Islamabad-I,NA-48,Syed Anwaar Ahmad Shah,Independent,54,104409,548,104902,239924,43.72 %
467,Islamabad-II,NA-49,Dr.Tariq Fazal Chaudhry,Pakistan Muslim League (N),45482,135591,983,136573,242877,56.23 %
468,Islamabad-II,NA-49,M.Iqbal Haider,Awami Himayat Tehreek Pakistan,707,135591,983,136573,242877,56.23 %
469,Islamabad-II,NA-49,Malik Tabarak Hussain,Independent,8294,135591,983,136573,242877,56.23 %
470,Islamabad-II,NA-49,Mufti Ameer Zeb,Independent,118,135591,983,136573,242877,56.23 %
